0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0.675,-0.5,-0.6,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-0.6,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.571,0.0,-0.6,-1.0,1.0,1.0,1.0,-1.0,-0.3325,-0.2,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.9,0.0,-0.6,-1.0,-1.0,-1.0,0.0,-1.0,-0.3325,0.2,-0.2,-0.6,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-0.6,1.0,-0.3325,-1.0,-1.0,-1.0,0.0,0.0,-0.3325,1.0
0.833,-0.5,-0.2,-1.0,-1.0,0.0,0.0,-1.0,-0.3325,-0.6,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3325,0.3325,-1.0,-1.0,0.0,0.0,0.0,-0.3325,-0.3325
0.582,-1.0,0.6,0.5,-1.0,0.0,-1.0,-1.0,-0.3325,-1.0,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.587,-1.0,-0.2,-0.25,-1.0,0.0,-1.0,-1.0,-0.3325,-1.0,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.549,-0.5,-0.2,-0.5,1.0,1.0,-1.0,-1.0,-0.3325,-1.0,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3325,0.3325,0.3325,1.0,1.0,-1.0,0.0,-0.3325,-1.0
0.742,-0.5,-0.2,-1.0,-1.0,0.0,0.0,-1.0,-0.3325,-0.6,-0.2,-0.2,-1.0,-1.0,0.0,0.0,-1.0,0.0,-0.6,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.634,-0.5,-0.2,-1.0,-1.0,0.0,0.0,-1.0,-0.3325,-0.6,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.639,1.0,-0.2,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.2,-0.2,-0.2,-1.0,0.0,0.0,0.0,-1.0,0.0,-0.6,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.1,0.0,-0.6,-1.0,1.0,1.0,1.0,-1.0,-0.3325,-0.2,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.3325,-1.0,1.0,1.0,1.0,0.0,-0.3325,0.3325
0.547,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.2,-0.6,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-0.6,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.568,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2,-0.6,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.2,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.516,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.2,1.0,0.5,-1.0,0.0,0.0,-1.0,0.0,-0.6,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.9,0.0,-0.6,-1.0,-1.0,-1.0,0.0,-1.0,-0.3325,0.2,-0.2,-0.6,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-0.6,-0.3325,-0.3325,-1.0,-1.0,-1.0,-1.0,0.0,-0.3325,-1.0
0.538,1.0,-0.6,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.531,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.763,-0.5,-0.2,-1.0,-1.0,0.0,0.0,-1.0,-0.3325,-0.6,-0.2,1.0,0.5,-1.0,0.0,0.0,-1.0,0.0,-0.6,0.3325,0.3325,-1.0,-1.0,0.0,0.0,0.0,-0.3325,-0.3325
0.619,-0.5,0.2,0.0,-1.0,0.0,0.0,-1.0,-0.3325,-0.6,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.613,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6,-0.2,-1.0,-1.0,0.0,1.0,-1.0,0.0,-0.6,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.619,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.2,-0.2,-1.0,-1.0,0.0,0.0,-1.0,0.0,-0.6,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.859,-0.5,-0.2,-1.0,-1.0,0.0,0.0,-1.0,-0.3325,-0.6,-0.6,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.3325,0.3325,-1.0,-1.0,0.0,0.0,0.0,-0.3325,-0.3325
0.54,-0.5,1.0,1.0,-1.0,0.0,0.0,-1.0,-0.3325,-0.6,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.893,-0.5,-0.6,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-0.6,-0.2,-0.2,-1.0,-1.0,0.0,0.0,-1.0,0.0,-0.6,0.3325,-0.3325,-1.0,-1.0,-1.0,0.0,0.0,1.0,-0.3325
0.838,-0.5,-0.2,-1.0,-1.0,0.0,0.0,-1.0,-0.3325,-0.6,-0.2,0.6,-0.5,-1.0,0.0,0.0,-1.0,0.0,-0.6,0.3325,0.3325,-1.0,-1.0,0.0,0.0,0.0,-0.3325,-0.3325
0.897,0.0,-0.6,-1.0,-1.0,-1.0,0.0,-1.0,0.3325,-0.2,-0.2,-0.6,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-0.6,1.0,-0.3325,-1.0,-1.0,-1.0,0.0,0.0,0.3325,0.3325
0.745,-1.0,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3325,-1.0,-0.2,-0.2,-1.0,-1.0,0.0,0.0,-1.0,0.0,-0.6,-0.3325,-0.3325,-1.0,-1.0,-1.0,-1.0,0.0,-0.3325,-1.0
0.56,-0.5,1.0,0.75,-1.0,0.0,0.0,-1.0,-0.3325,-0.6,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.584,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6,-0.2,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.2,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.9,-0.5,-0.2,-1.0,-1.0,0.0,0.0,-1.0,-0.3325,-0.6,-0.2,-0.2,-1.0,-1.0,0.0,0.0,-1.0,0.0,-0.6,0.3325,0.3325,-1.0,-1.0,0.0,0.0,0.0,-0.3325,-0.3325
0.893,-0.5,-0.6,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-0.6,0.2,-0.6,-1.0,1.0,1.0,1.0,-1.0,0.0,-0.2,0.3325,-0.3325,-1.0,-1.0,-1.0,0.0,0.0,1.0,-0.3325
0.674,-0.5,0.2,0.0,-1.0,1.0,0.0,-1.0,-0.3325,-0.6,-0.2,0.2,0.0,-1.0,1.0,0.0,-1.0,0.0,-0.6,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.569,0.0,-0.6,-1.0,1.0,1.0,1.0,-1.0,-0.3325,-0.2,0.2,-0.6,-1.0,1.0,1.0,1.0,-1.0,0.0,-0.2,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.579,-0.5,0.2,0.0,-1.0,1.0,0.0,-1.0,-0.3325,-0.6,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.642,-0.5,0.6,-0.5,-1.0,0.0,0.0,-1.0,-0.3325,-0.6,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.72,-1.0,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3325,-1.0,0.2,-0.6,-1.0,1.0,1.0,1.0,-1.0,0.0,-0.2,-0.3325,-0.3325,-1.0,-1.0,-1.0,-1.0,0.0,-0.3325,-1.0
0.619,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2,-0.6,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-0.2,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.632,0.5,0.2,-0.75,-1.0,-1.0,-1.0,0.0,0.3325,-0.2,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.451,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.2,1.0,0.75,-1.0,0.0,0.0,-1.0,0.0,-0.6,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.738,0.0,-0.6,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.2,-0.2,-0.2,-1.0,-1.0,0.0,0.0,-1.0,0.0,-0.6,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.561,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.2,0.2,0.0,-1.0,1.0,0.0,-1.0,0.0,-0.6,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.763,-0.5,-0.2,-1.0,-1.0,0.0,0.0,-1.0,-0.3325,-0.6,-0.2,1.0,1.0,-1.0,0.0,0.0,-1.0,0.0,-0.6,0.3325,0.3325,-1.0,-1.0,0.0,0.0,0.0,-0.3325,-0.3325
0.624,-0.5,1.0,0.5,-1.0,0.0,0.0,-1.0,-0.3325,-0.6,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.534,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.2,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.2,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
